id,active_search_condition,session_started,session_ended,session_duration_minutes,q1,q2,q3,q4,q5,q6,q7,q8,comments,technical_issues,age,sex,education
dHTodoyMJCwZZ0rlBoDBgg,greedy,2020-09-10 15:43:00,2020-09-10 15:53:16,10.266666666666667,4.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0,,False,27,male,bachelors
0FomFSRLtGmolWmt6v-BzQ,control,2020-09-10 15:43:02,2020-09-10 15:56:11,13.15,2.0,2.0,2.0,2.0,,,,,,False,35,female,bachelors
s_Iy02wt_jLcFG3_vAw1ig,control,2020-09-10 15:43:12,2020-09-10 15:54:28,11.266666666666667,4.0,4.0,3.0,2.0,,,,,There was a little bit of lag in my selections and it would have been easier if I was able to zoom some more within the system but overall I thought it was easy to use. ,False,35,male,bachelors
Rr-Am9XWLG_j9RzUhfpI6Q,control,2020-09-10 15:43:14,2020-09-10 15:53:57,10.716666666666667,4.0,5.0,5.0,2.0,,,,,This was well-designed. Thank you for allowing me to participate.,False,26,male,highschool
diIEYYtFfdAwwLsRtdW0wg,control,2020-09-10 15:43:16,2020-09-10 15:55:36,12.333333333333334,4.0,4.0,4.0,2.0,,,,,,False,25,female,bachelors
SG09OWw6EdZOVvZlTjM-FQ,control,2020-09-10 15:43:16,2020-09-10 15:54:01,10.75,3.0,4.0,4.0,2.0,,,,,,False,30,male,bachelors
K3BMWHJwzKB8gWq58g7XRA,greedy,2020-09-10 15:43:25,2020-09-10 15:54:02,10.616666666666667,4.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,,False,32,male,bachelors
sHdVgbUcMwvCWwxfJxVrnw,greedy,2020-09-10 15:43:26,2020-09-10 15:54:04,10.633333333333333,3.0,4.0,3.0,2.0,1.0,2.0,4.0,5.0,,False,49,male,associate
oKdTjzjtwGFS0iiz-MpQrA,greedy,2020-09-10 15:43:29,2020-09-10 15:54:58,11.483333333333333,4.0,4.0,5.0,2.0,1.0,1.0,5.0,5.0,,False,52,male,masters
0aJkmv1hnmWrVGAwLE6RIg,control,2020-09-10 15:43:36,2020-09-10 15:54:56,11.333333333333334,4.0,3.0,4.0,2.0,,,,,,False,40,male,bachelors
